movieId,released,title,actors,director,genres,imdbRating
70,1996-01-19,From Dusk Till Dawn,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,Thriller|Action|Comedy|Horror,7.3
71,1995-11-03,Fair Game,William Baldwin|Christopher McDonald|Steven Berkoff|Cindy Crawford,Andrew Sipes,Action,4.1
72,1995-10-06,Kicking and Screaming,Josh Hamilton|Jonathan Baumbach|Samuel Gould|Catherine Kellner,Noah Baumbach,Drama|Comedy,7.1
73,1995-11-03,"Misérables, Les",Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salomé Lelouch, Claude Lelouch,War|Drama,7.5
74,1996-01-26,Bed of Roses,Christian Slater|Mary Stuart Masterson|Josh Brolin|Pamela Adlon,Michael Goldenberg,Romance|Drama,6.0
76,1996-01-26,Screamers,Peter Weller|Andrew Lauer|Jennifer Rubin|Roy Dupuis,Christian Duguay,Action|Sci-Fi|Thriller,6.4
77,1995-11-16,Nico Icon,Christian Aaron Boulogne|Christian Päffgen|Tina Aumont|Nico,Susanne Ofteringer,Documentary,7.3
78,1995-11-16,"Crossing Guard, The",Jack Nicholson|Anjelica Huston|David Morse|Robin Wright,Sean Penn,Action|Crime|Drama|Thriller,6.4
79,1996-02-02,"Juror, The",Alec Baldwin|Demi Moore|Anne Heche|Joseph Gordon-Levitt,Brian Gibson,Drama|Thriller,5.6
80,1995-11-27,"White Balloon, The (Badkonake sefid)",Anna Borkowska|Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy,Jafar Panahi,Children|Drama,7.8
81,1995-12-01,Things to Do in Denver When You're Dead,Andy Garcia|Bill Nunn|Christopher Lloyd|William Forsythe,Gary Fleder,Crime|Drama|Romance,6.8
82,1996-02-02,Antonia's Line (Antonia),Veerle van Overloop|Els Dottermans|Dora van der Groen|Willeke van Ammelrooy,Marleen Gorris,Drama|Comedy,7.5
83,1996-01-26,Once Upon a Time... When We Were Colored,Al Freeman Jr.|Leon|Phylicia Rashad|Paula Kelly,Tim Reid,Drama|Romance,7.3
84,1996-09-15,Last Summer in the Hamptons,Victoria Foyt|Jon Robin Baitz|Viveca Lindfors|Savannah Smith Boucher,Henry Jaglom,Drama|Comedy,6.1
85,1996-01-26,Angels and Insects,Patsy Kensit|Kristin Scott Thomas|Mark Rylance|Jeremy Kemp,Philip Haas,Drama|Romance,7.0
86,1996-02-02,White Squall,Jeff Bridges|Scott Wolf|John Savage|Caroline Goodall,Ridley Scott,Action|Drama|Adventure,6.6
87,1996-01-12,Dunston Checks In,Jason Alexander|Faye Dunaway|Rupert Everett|Eric Lloyd,Ken Kwapis,Comedy|Children,5.2
88,1996-02-02,Black Sheep,Chris Farley|Christine Ebersole|Tim Matheson|David Spade,Penelope Spheeris,Comedy,6.2
89,1995-11-22,Nick of Time,Christopher Walken|Courtney Chase|Charles S. Dutton|Johnny Depp,John Badham,Action|Thriller,6.3
92,1996-02-23,Mary Reilly,Julia Roberts|George Cole|Michael Gambon|John Malkovich,Stephen Frears,Horror|Thriller|Drama,5.8
93,1995-10-27,Vampire in Brooklyn,Eddie Murphy|Kadeem Hardison|Angela Bassett|Allen Payne,Wes Craven,Comedy|Horror|Romance,4.5
94,1996-02-09,Beautiful Girls,Annabeth Gish|Matt Dillon|Lauren Holly|Noah Emmerich,Ted Demme,Drama|Romance|Comedy,7.2
95,1996-02-09,Broken Arrow,John Travolta|Christian Slater|Samantha Mathis|Delroy Lindo,John Woo,Adventure|Action|Thriller,6.0
96,1996-02-16,In the Bleak Midwinter,Nicholas Farrell|Richard Briers|Joan Collins|Hetta Charnley,Kenneth Branagh,Comedy|Drama,7.3
97,1996-02-23,"Hate (Haine, La)",Vincent Cassel|Abdel Ahmed Ghili|Saïd Taghmaoui|Hubert Koundé,Mathieu Kassovitz,Drama|Crime,8.1
98,1996-02-09,Shopping,Fraser James|Sean Pertwee|Jude Law|Sadie Frost,Paul W.S. Anderson,Thriller|Action,5.4
99,1996-02-09,Heidi Fleiss: Hollywood Madam,Heidi Fleiss|Nick Broomfield|Corinne Bohrer|Madam Alex,Nick Broomfield,Documentary,6.6
100,1996-02-16,City Hall,Al Pacino|John Cusack|Bridget Fonda|Danny Aiello,Harold Becker,Thriller|Drama,6.2
101,1996-02-21,Bottle Rocket,Owen Wilson|Luke Wilson|Ned Dowd|Shea Fowler,Wes Anderson,Romance|Crime|Comedy|Adventure,7.1
102,1996-02-16,Mr. Wrong,Dean Stockwell|Joan Cusack|Bill Pullman|Ellen DeGeneres,Nick Castle,Comedy,3.7
103,1996-02-23,Unforgettable,Ray Liotta|Linda Fiorentino|Peter Coyote|Christopher McDonald,John Dahl,Thriller|Sci-Fi|Mystery,6.0
104,1996-02-16,Happy Gilmore,Adam Sandler|Christopher McDonald|Frances Bay|Julie Bowen,Dennis Dugan,Comedy,7.0
105,1995-06-02,"Bridges of Madison County, The",Clint Eastwood|Meryl Streep|Annie Corley|Victor Slezak,Clint Eastwood,Drama|Romance,7.5
107,1996-02-16,Muppet Treasure Island,Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop,Brian Henson,Children|Comedy|Musical|Adventure,6.9
108,1996-05-16,Catwalk,Christy Turlington|Giorgio Armani|Azzedine Alaïa|Nadja Auermann,Robert Leacock,Documentary,6.4
110,1995-05-24,Braveheart,James Robinson|Sandy Nelson|Sean Lawlor|James Cosmo,Mel Gibson,War|Drama|Action,8.4
111,1976-02-08,Taxi Driver,Diahnne Abbott|Gino Ardito|Frank Adu|Victor Argo,Martin Scorsese,Thriller|Drama|Crime,8.3
112,1996-02-23,Rumble in the Bronx (Hont faan kui),Bill Tung|Anita Mui|Françoise Yip|Jackie Chan,Stanley Tong,Crime|Comedy|Adventure|Action,6.7
113,1996-02-23,Before and After,Meryl Streep|Julia Weldon|Edward Furlong|Liam Neeson,Barbet Schroeder,Drama|Mystery,6.1
114,1996-01-26,Margaret's Museum,Helena Bonham Carter|Craig Anthony Olejnik|Clive Russell|Kate Nelligan,Mort Ransen,Drama,7.3
116,1995-08-31,Anne Frank Remembered,Kenneth Branagh|Glenn Close|Janny Brandes-Brilslijper,Jon Blair,Documentary,8.2
117,1996-02-23,"Young Poisoner's Handbook, The",Tobias Arnold|Roger Lloyd Pack|Ruth Sheen|Hugh O'Conor,Benjamin Ross,Drama|Crime,7.1
118,1996-03-08,If Lucy Fell,Ben Stiller|Sarah Jessica Parker|Eric Schaeffer|Elle Macpherson,Eric Schaeffer,Romance|Comedy,4.9
119,1995-09-29,"Steal Big, Steal Little",Andy Garcia|Rachel Ticotin|Alan Arkin|Joe Pantoliano,Andrew Davis,Comedy,4.8
121,1992-12-06,"Boys of St. Vincent, The",Philip Dinn|Brian Dooley|Johnny Morina|Henry Czerny,John N. Smith,Drama,7.8
122,1992-07-01,Boomerang,Eddie Murphy|Halle Berry|Robin Givens|David Alan Grier,Reginald Hudlin,Romance|Comedy,5.4
123,1996-03-08,Chungking Express (Chung Hing sam lam),Tony Leung Chiu-Wai|Brigitte Lin|Takeshi Kaneshiro|Faye Wong, Kar-wai Wong,Mystery|Drama|Romance,8.1
124,1996-03-08,"Star Maker, The (Uomo delle stelle, L')",Sergio Castellitto|Franco Scaldati|Tiziana Lodato|Leopoldo Trieste,Giuseppe Tornatore,Drama,7.3
125,1996-04-12,Flirting With Disaster,Mary Tyler Moore|Téa Leoni|Patricia Arquette|Ben Stiller,David O. Russell,Comedy,6.8
126,1994-10-27,"NeverEnding Story III, The",Jack Black|Melody Kay|Carole Finn|Jason James Richter,Peter MacDonald,Fantasy|Children|Adventure,3.1
129,1996-02-09,Pie in the Sky,Josh Charles|Christine Lahti|Anne Heche|John Goodman,Bryan Gordon,Romance|Comedy,5.9
130,1995-01-01,Angela,John Ventimiglia|Anna Levine|Charlotte Eve Blythe|Miranda Rhyne,Rebecca Miller,Drama,6.4
131,1995-11-22,Frankie Starlight,Gabriel Byrne|Niall Toibin|Owen Roe|Corban Walker,Michael Lindsay-Hogg,Drama|Romance,6.7
132,1995-10-13,Jade,David Caruso|Chazz Palminteri|Linda Fiorentino|Richard Crenna,William Friedkin,Thriller,5.1
135,1996-03-01,Down Periscope,Lauren Holly|Kelsey Grammer|Harry Dean Stanton|Rob Schneider,David S. Ward,Comedy,6.0
137,1996-03-15,Man of the Year,Vivian Paxton|Michael Ornstein|Claudette Sutherland|Cal Bartlett,Dirk Shafer,Documentary,6.1
140,1996-03-01,Up Close and Personal,Robert Redford|Michelle Pfeiffer|Stockard Channing|Joe Mantegna,Jon Avnet,Romance|Drama,6.1
141,1996-03-08,"Birdcage, The",Nathan Lane|Dianne Wiest|Robin Williams|Gene Hackman,Mike Nichols,Comedy,6.9
144,1995-08-09,"Brothers McMullen, The",Shari Albert|Maxine Bahns|Catharine Bolz|Connie Britton,Edward Burns,Comedy,6.6
145,1995-04-07,Bad Boys,Michael Taliferro|Lisa Boyle|Martin Lawrence|Will Smith,Michael Bay,Thriller|Drama|Crime|Action|Comedy,6.8
146,1995-08-25,"Amazing Panda Adventure, The",Wang Fei|Stephen Lang|Yi Ding|Ryan Slater,Christopher Cain,Children|Adventure,5.8
147,1995-04-21,"Basketball Diaries, The",Leonardo DiCaprio|Marilyn Sokol|Lorraine Bracco|James Madio,Scott Kalvert,Drama,7.3
148,1995-07-21,"Awfully Big Adventure, An",Alan Rickman|Alun Armstrong|Georgina Cates|Hugh Grant,Mike Newell,Drama,6.1
149,1995-05-19,Amateur,Isabelle Huppert|Martin Donovan|Elina Löwensohn|Damian Young,Hal Hartley,Drama|Thriller|Crime,7.0
150,1995-06-30,Apollo 13,Bill Paxton|Kevin Bacon|Tom Hanks|Gary Sinise,Ron Howard,Drama|Adventure|IMAX,7.6
151,1995-04-14,Rob Roy,Liam Neeson|Jessica Lange|John Hurt|Tim Roth,Michael Caton-Jones,Romance|Drama|Action|War,6.9
152,1995-10-06,"Addiction, The",Lili Taylor|Christopher Walken|Annabella Sciorra|Edie Falco,Abel Ferrara,Horror|Drama,6.4
153,1995-06-16,Batman Forever,Nicole Kidman|Jim Carrey|Tommy Lee Jones|Val Kilmer,Joel Schumacher,Action|Adventure|Comedy|Crime,5.4
154,1968-04-10,Beauty of the Day (Belle de jour),Catherine Deneuve|Jean Sorel|Michel Piccoli|Geneviève Page,Luis Buñuel,Drama,7.8
155,1995-08-25,Beyond Rangoon,Spalding Gray|Patricia Arquette|Frances McDormand|U Aung Ko,John Boorman,War|Drama|Adventure,6.6
156,1995-10-13,Blue in the Face,Michael J. Fox|Mel Gorham|Roseanne Barr|Lou Reed,Wayne Wang|Paul Auster| Harvey Wang,Drama|Comedy,6.7
157,1995-09-22,Canadian Bacon,John Candy|Alan Alda|Rhea Perlman|Kevin Pollak,Michael Moore,War|Comedy,5.9
158,1995-05-26,Casper,Chauncey Leopardi|Cathy Moriarty|Malachi Pearson|Spencer Vrooman,Brad Silberling,Children|Adventure,6.0
159,1995-09-13,Clockers,Harvey Keitel|Delroy Lindo|John Turturro|Mekhi Phifer,Spike Lee,Drama|Mystery|Crime,6.9
160,1995-06-09,Congo,Tim Curry|Laura Linney|Dylan Walsh|Ernie Hudson,Frank Marshall,Adventure|Action|Sci-Fi|Mystery,5.0
161,1995-05-12,Crimson Tide,Denzel Washington|Gene Hackman|Matt Craven|George Dzundza,Tony Scott,Thriller|Drama|War,7.3
162,1995-04-28,Crumb,Aline Kominsky|Robert Crumb|Maxon Crumb|Charles Crumb,Terry Zwigoff,Documentary,8.0
163,1995-08-25,Desperado,Antonio Banderas|Cheech Marin|Joaquim de Almeida|Salma Hayek,Robert Rodriguez,Romance|Action|Western,7.2
164,1995-09-29,Devil in a Blue Dress,Denzel Washington|Jennifer Beals|Tom Sizemore|Don Cheadle,Carl Franklin,Mystery|Film-Noir|Thriller|Crime,6.7
165,1995-05-19,Die Hard: With a Vengeance,Bruce Willis|Samuel L. Jackson|Jeremy Irons|Graham Greene,John McTiernan,Crime|Thriller|Action,7.6
166,1995-10-27,"Doom Generation, The",Rose McGowan|Johnathon Schaech|Cress Williams|James Duval,Gregg Araki,Drama|Crime|Comedy,5.9
167,1995-10-13,Feast of July,Embeth Davidtz|James Purefoy|Tom Bell|Gemma Jones,Christopher Menaul,Drama,6.4
168,1995-07-07,First Knight,Sean Connery|Julia Ormond|Richard Gere|Ben Cross, Jerry Zucker,Romance|Action|Drama,5.9
169,1995-07-19,Free Willy 2: The Adventure Home,Francis Capra|Mary Kate Schellhardt|August Schellenberg|Jason James Richter,Dwight H. Little,Adventure|Drama|Children,4.9
170,1995-09-15,Hackers,Jesse Bradford|Jonny Lee Miller|Matthew Lillard|Angelina Jolie,Iain Softley,Action|Adventure|Crime|Thriller,6.2
171,1995-08-18,Jeffrey,Patrick Stewart|Michael T. Weiss|Steven Weber|David Thornton,Christopher Ashley,Comedy|Drama,6.7
172,1995-05-26,Johnny Mnemonic,Takeshi Kitano|Keanu Reeves|Ice-T|Dina Meyer,Robert Longo,Sci-Fi|Action|Thriller,5.5
173,1995-06-30,Judge Dredd,Jürgen Prochnow|Sylvester Stallone|Rob Schneider|Armand Assante,Danny Cannon,Sci-Fi|Crime|Action,5.4
174,1995-04-12,Jury Duty,Pauly Shore|Brian Doyle-Murray|Stanley Tucci|Tia Carrere,John Fortenberry,Comedy,4.0
175,1995-09-01,Kids,Leo Fitzpatrick|Joseph Chan|Sarah Henderson|Justin Pierce,Larry Clark,Drama,7.0
176,1995-07-21,Living in Oblivion,Steve Buscemi|Danielle von Zerneck|Dermot Mulroney|Catherine Keener,Tom DiCillo,Comedy,7.6
177,1995-08-25,Lord of Illusions,Sheila Tousey|Joseph Latimore|Kevin J. O'Connor|Scott Bakula,Clive Barker,Horror,6.0
178,1995-06-23,Love & Human Remains,Thomas Gibson|Ruth Marshall|Cameron Bancroft|Mia Kirshner,Denys Arcand,Drama|Comedy,6.8
179,1995-05-26,Mad Love,Chris O'Donnell|Richard Chaim|Drew Barrymore|Matthew Lillard,Antonia Bird,Romance|Drama,5.2
180,1995-10-20,Mallrats,Shannen Doherty|Jason Lee|Jeremy London|Claire Forlani,Kevin Smith,Comedy|Romance,7.2
181,1995-06-30,Mighty Morphin Power Rangers: The Movie,Karan Ashley|Johnny Yong Bosch|Steve Cardenas|Jason David Frank,Bryan Spicer,Children|Action,5.0
183,1995-09-15,Mute Witness,Fay Ripley|Evan Richards|Oleg Yankovskiy|Marina Zudina,Anthony Waller,Thriller|Horror|Comedy,6.8
184,1995-09-01,Nadja,Elina Löwensohn|Nic Ratner|Karl Geary|Peter Fonda,Michael Almereyda,Drama,6.0
185,1995-07-28,"Net, The",Sandra Bullock|Diane Baker|Jeremy Northam|Dennis Miller,Irwin Winkler,Action|Crime|Thriller,5.8
186,1995-07-12,Nine Months,Hugh Grant|Joan Cusack|Tom Arnold|Julianne Moore,Chris Columbus,Romance|Comedy,5.4
187,1995-06-09,Party Girl,Guillermo Díaz|Anthony DeSando|Donna Mitchell|Parker Posey,Daisy von Scherler Mayer,Comedy,6.6
188,1995-09-01,"Prophecy, The",Christopher Walken|Eric Stoltz|Virginia Madsen|Elias Koteas,Gregory Widen,Fantasy|Horror|Mystery,6.6
189,1995-11-17,Reckless,Mary-Louise Parker|Scott Glenn|Tony Goldwyn|Mia Farrow,Norman René,Fantasy|Comedy,5.0
190,1995-06-30,Safe,Julianne Moore|Julie Burgess|Dean Norris|Xander Berkeley,Todd Haynes,Thriller,7.1
191,1995-10-13,"Scarlet Letter, The",Demi Moore|Robert Duvall|Gary Oldman|Lisa Andoh,Roland Joffé,Drama|Romance,5.1
193,1995-09-22,Showgirls,Glenn Plummer|Kyle MacLachlan|Gina Gershon|Elizabeth Berkley,Paul Verhoeven,Drama,4.6
194,1995-06-09,Smoke,Giancarlo Esposito|Stephen Gevedon|José Zúñiga|Harvey Keitel,Paul Auster|Wayne Wang,Comedy|Drama,7.4
195,1995-08-04,Something to Talk About,Julia Roberts|Robert Duvall|Dennis Quaid|Gena Rowlands,Lasse Hallström,Drama|Romance|Comedy,5.7
196,1995-07-07,Species,Alfred Molina|Michael Madsen|Forest Whitaker|Ben Kingsley,Roger Donaldson,Sci-Fi|Horror,5.8
198,1995-10-13,Strange Days,Ralph Fiennes|Angela Bassett|Juliette Lewis|Tom Sizemore,Kathryn Bigelow,Crime|Action|Thriller|Sci-Fi|Mystery|Drama,7.2
199,1964-12-16,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Catherine Deneuve|Marc Michel|Anne Vernon|Nino Castelnuovo,Jacques Demy,Drama|Musical|Romance,7.8
200,1995-09-08,"Tie That Binds, The",Keith Carradine|Daryl Hannah|Vincent Spano|Moira Kelly,Wesley Strick,Thriller,5.0
201,1995-10-27,Three Wishes,Patrick Swayze|Seth Mumy|Mary Elizabeth Mastrantonio|Joseph Mazzello,Martha Coolidge,Drama|Fantasy,6.1
202,1995-11-03,Total Eclipse,David Thewlis|Leonardo DiCaprio|Dominique Blanc|Romane Bohringer,Agnieszka Holland,Drama|Romance,6.5
203,1995-09-08,"To Wong Foo, Thanks for Everything! Julie Newmar",Wesley Snipes|Stockard Channing|Patrick Swayze|John Leguizamo,Beeban Kidron,Comedy,6.3
204,1995-07-14,Under Siege 2: Dark Territory,Eric Bogosian|Everett McGill|Katherine Heigl|Steven Seagal,Geoff Murphy,Action,5.4
205,1995-09-22,Unstrung Heroes,Andie MacDowell|Michael Richards|John Turturro|Maury Chaykin,Diane Keaton,Drama|Comedy,6.8
206,1995-08-11,Unzipped,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard|Natane Boudreau,Douglas Keeve,Documentary,6.4
207,1995-08-11,"Walk in the Clouds, A",Keanu Reeves|Giancarlo Giannini|Anthony Quinn|Aitana Sánchez-Gijón,Alfonso Arau,Drama|Romance,6.6
