stop_I;lat;lon;name
93;41.789858;12.386478;GELLI/DANIELLO
94;41.978957;12.509104;INCISA VAL D'ARNO
95;41.979118;12.50905;INCISA VAL D'ARNO
96;41.795613;12.432575;CAVACEPPI/VICO CONSORTI
97;41.942862;12.515863;L.GO VALSABBIA
98;41.942924;12.515963;L.GO VALSABBIA
99;41.942831;12.516132;L.GO VALSABBIA
100;41.902498;12.441357;EMO/DI BARTOLO
101;41.912685;12.541044;CAVE DI PIETRALATA
102;41.912801;12.540914;CAVE DI PIETRALATA
103;41.991357;12.552899;MARCIGLIANA/BUFALOTTA
104;41.991462;12.558128;MARCIGLIANA/BUFALOTTA
105;41.918398;12.538868;MONTI TIBURTINI/PERTINI (H)
106;41.919181;12.536974;MONTI TIBURTINI/PERTINI (H)
107;41.937198;12.617572;TIBURTINA/MOROLO
108;41.937649;12.619142;TIBURTINA/SALONE
109;41.994887;12.4818;MAGNANO IN RIVIERA/NIMIS
111;41.882983;12.340975;AURELIA/PERSICHETTI
112;41.88762;12.466636;GARIBALDI/FABRIZI
113;41.978508;12.494308;NICCOLO' CAROSIO
114;41.845885;12.579692;TUSCOLANA/CENTRALE ENEL
115;41.981909;12.564601;TOR S. GIOVANNI
116;41.981873;12.564239;TOR S. GIOVANNI
117;41.929436;12.577088;TIBURTINA/NASINI
118;41.945492;12.547177;CAPUANA/DI BREME
119;41.762043;12.477571;TRIGORIA/ANDRIULI
120;41.905024;12.599527;COLLATINA/BIROLLI
121;41.932137;12.599443;PESENTI/TIBURTINA
123;41.937401;12.618882;TIBURTINA/MOROLO
124;41.933755;12.603642;TIBURTINA/CASTEL MADAMA
125;41.932848;12.597967;TIBURTINA/PESENTI
126;41.932713;12.58605;TIBURTINA/TOR CERVARA
127;41.884916;12.695302;ROCCA CENCIA/STABILIMENTO AMA
128;41.929832;12.577412;TIBURTINA/NASINI
129;41.957857;12.557408;CASAL BOCCONE/ALMAVIVA
130;41.769807;12.325069;OSTIENSE/FOSSO DI DRAGONCELLO
131;41.90566;12.662278;CHIODELLI/PUPPINI
132;41.952226;12.559125;CASAL BOCCONE/OJETTI
133;41.957887;12.556998;CASAL BOCCONE/ALMAVIVA
134;41.79549;12.535365;FIORANELLO/ARDEATINA
135;41.794306;12.537452;FIORANELLO/CIVICO 186
136;41.908064;12.535477;TIBURTINA/PORTONACCIO
137;41.908369;12.540447;TIBURTINA/OTTOBONI
138;41.90849;12.543423;TIBURTINA/GALLA PLACIDIA
139;41.908804;12.542928;TIBURTINA/GALLA PLACIDIA
140;41.908686;12.540374;TIBURTINA/OTTOBONI
141;41.948018;12.392367;PALMAROLA NUOVA
142;41.803728;12.505873;TOR PAGNOTTA/CECCHIGNOLA
143;41.885852;12.469251;MOROSINI E./NUOVO REGINA MARGHERITA (H)
144;41.917966;12.520179;XXI APRILE/NARDINI
145;41.90464;12.661747;CHIODELLI/DANUSSO
146;41.734569;12.556244;MERCOGLIANO/SPREGAMORE
147;41.918895;12.461541;OSLAVIA/BAINSIZZA
148;41.855584;12.473056;LEVI CIVITA
149;41.888044;12.467598;MAMELI
150;41.888462;12.465997;GARIBALDI/IACOBUCCI
151;41.88762;12.466102;GARIBALDI/FABRIZI
152;41.907874;12.662415;CHIODELLI/CORBELLINI
153;41.908366;12.535116;TIBURTINA/PORTONACCIO
154;41.936465;12.425338;ACQUEDOTTO DEL PESCHIERA
155;41.829028;12.471226;BOSTON
156;41.829682;12.471742;BOSTON
157;41.888385;12.467551;MAMELI
158;41.931996;12.643026;CIVITACAMPOMARANO/CASE ROSSE
159;41.888386;12.465772;GARIBALDI/IACOBUCCI
160;41.789929;12.407778;S. ARCANGELO DI ROMAGNA
161;41.964001;12.488956;STAZIONE GROTTAROSSA
162;41.909096;12.530759;STAZ.NE TIBURTINA (MB)
163;41.802706;12.481647;LAURENTINA/TOR PAGNOTTA
164;41.764162;12.498068;LAURENTINA/CIMITERO LAURENTINO
165;41.761258;12.500043;LAURENTINA/MANDRIOLA
166;41.745727;12.50346;LAURENTINA/CIVICO 1569
167;41.763711;12.499105;LAURENTINA/CIMITERO LAURENTINO
168;41.748744;12.501545;LAURENTINA/BOSCOTRECASE
169;41.883656;12.458725;QUATTRO VENTI/REGNOLI
170;41.857694;12.376749;G.R.A.
171;41.891308;12.492325;COLOSSEO (MB)
172;41.899737;12.389355;CORNELIA/VILLATA
173;41.824976;12.45607;OCEANO PACIFICO/VELODROMO
174;41.8902;12.551109;TEANO (MC)
175;41.873796;12.501353;PTA S. SEBASTIANO/SEPOLCRO SCIPIONI
176;41.938177;12.419366;VINCI
177;41.921548;12.489647;PITAGORA
178;41.919113;12.476791;BUOZZI/MONTI PARIOLI
179;41.999569;12.629432;NOMENTANA/MONTE ARGENTARIO
180;41.933007;12.47829;VENEZUELA/INDIA
182;41.934304;12.608046;TIBURTINA/ZOE FONTANA
183;41.802399;12.486031;TOR PAGNOTTA/PELOSI
184;41.802705;12.485537;TOR PAGNOTTA/PELOSI
186;41.940424;12.56696;BUAZZELLI/FABBRI
187;41.915602;12.605405;NAIDE/NICANDRO
188;41.869434;12.631965;CAMBELLOTTI
190;41.804301;12.599533;Ciampino
192;41.897793;12.54599;Roma Prenestina
193;41.915095;12.636063;Salone
194;41.923843;12.667547;Lunghezza
196;41.900815;12.502332;Roma Termini
206;41.788451;12.604225;Casabianca
224;41.826101;12.669887;Tor Vergata
233;41.809304;12.484701;LAURENTINA/CELINE
234;41.813061;12.486156;LAURENTINA/SILONE
235;41.811112;12.486338;LAURENTINA/MERCATO
236;41.809092;12.485185;LAURENTINA/CELINE
237;41.894054;12.503506;P.ZA VITTORIO EMANUELE (MA)
238;41.811156;12.48596;LAURENTINA/MERCATO
239;41.809624;12.484854;LAURENTINA/CELINE
240;41.794052;12.616687;Acqua Acetosa
241;41.783559;12.62603;Sassone
242;41.77428;12.606198;Santa Maria delle Mole
260;41.902878;12.441388;Valle Aurelia
265;41.899993;12.557863;Serenissima
266;41.903331;12.574194;Palmiro Togliatti
267;41.905879;12.587851;Tor Sapienza
268;41.910153;12.609624;La Rustica Città
269;41.912549;12.621819;La Rustica U.I.R.
270;41.955429;12.510332;Nuovo Salario
279;41.779934;12.633931;Pantanella
290;41.954898;12.48454;FLAMINIA/CANTALUPO
291;41.951968;12.484661;FLAMINIA/TOR DI QUINTO
292;41.951018;12.480726;FLAMINIA/MONTEROSI
293;41.949768;12.478951;FLAMINIA/CAPPELLI R.
294;41.947811;12.475594;FLAMINIA/MORLUPO
295;41.946291;12.473407;FLAMINIA/NITTI
296;41.944299;12.472055;FLAMINIA/BEVAGNA
297;41.94073;12.470782;C.SO FRANCIA/FLAMINIA
298;41.937106;12.469628;TOR DI QUINTO/RIANO
299;41.912178;12.563835;MOZART/SIBELIUS
300;41.914187;12.562363;MOZART/BADILE
301;41.936713;12.650361;ORTUCCHIO/PACENTRO
302;41.9311;12.462859;LGT THAON DI REVEL/FORO ITALICO
303;41.933328;12.465266;LGT THAON DI REVEL/ROMANO
304;41.931266;12.467816;FLAMINIA/CALDERINI
305;41.929502;12.4685;FLAMINIA/CARRACCI
306;41.927791;12.469218;FLAMINIA/RENI
307;41.92499;12.470358;FLAMINIA/VIGNOLA
308;41.922918;12.471209;FLAMINIA/FRACASSINI
310;41.913686;12.480619;DEL FIOCCO/VALLE GIULIA
311;41.912981;12.483451;VICTOR HUGO/MUSEO BILOTTI
312;41.913334;12.482804;VICTOR HUGO/MUSEO BILOTTI
313;41.913781;12.481055;DEL FIOCCO/VALLE GIULIA
314;41.902503;12.497125;REPUBBLICA (MA)
315;41.90188;12.494917;NAZIONALE/TORINO
316;41.912488;12.477478;VILLA BORGHESE/WASHINGTON
317;41.900158;12.492297;NAZIONALE/QUATTRO FONTANE
318;41.899134;12.490731;NAZIONALE/PALAZZO ESPOSIZIONI
320;41.89697;12.487428;NAZIONALE/QUIRINALE
321;41.896823;12.482841;P.ZA VENEZIA
322;41.915819;12.474329;PIAZZA DELLA MARINA
323;41.917876;12.473426;FLAMINIA/VILLA GIULIA
324;41.896117;12.476847;ARGENTINA
325;41.89657;12.473886;C.SO VITTORIO EMANUELE/S. A. DELLA VALLE
326;41.924235;12.471758;ANKARA
328;41.929396;12.469522;TIZIANO/APOLLODORO
329;41.932292;12.468375;TIZIANO/XVII OLIMPIADE
330;41.897191;12.47144;C.SO VITTORIO EMANUELE/NAVONA
332;41.934368;12.466742;LGT THAON DI REVEL/P. MILVIO
333;41.933146;12.464703;LGT THAON DI REVEL/ROMANO
334;41.898823;12.467488;C.SO VITTORIO EMANUELE/TASSONI
335;41.900456;12.465338;PONTE VITTORIO EMANUELE
336;41.931216;12.462502;LGT THAON DI REVEL/DUCA D'AOSTA
337;41.932687;12.460698;LGT M.LLO DIAZ/DE BOSIS
339;41.935577;12.464806;LGT M.LLO DIAZ/PONTE MILVIO
341;41.940808;12.471059;C.SO FRANCIA/FLAMINIA
342;41.944959;12.472661;FLAMINIA/BEVAGNA
343;41.899737;12.464929;ACCIAIOLI
344;41.946586;12.473798;FLAMINIA/NITTI
345;41.947717;12.476426;FLAMINIA/MORLUPO
346;41.898939;12.467079;C.SO VITTORIO EMANUELE/TASSONI
347;41.9489;12.478445;FLAMINIA/CAPPELLI R.
348;41.897479;12.469608;CHIESA NUOVA
349;41.896998;12.471763;C.SO VITTORIO EMANUELE/NAVONA
350;41.950907;12.481096;FLAMINIA/MONTEROSI
353;41.896735;12.483121;P.ZA VENEZIA
354;41.897049;12.487835;NAZIONALE/QUIRINALE
355;41.954638;12.484855;FLAMINIA/CANTALUPO
356;41.898451;12.489896;NAZIONALE/PALAZZO ESPOSIZIONI
357;41.899983;12.492278;NAZIONALE/QUATTRO FONTANE
358;41.955566;12.484934;STAZ.NE DUE PONTI
359;41.901839;12.495106;NAZIONALE/TORINO
360;41.901824;12.497094;TERME DIOCLEZIANO
363;41.904889;12.476098;TOMACELLI
364;41.896554;12.44989;GREGORIO VII/RANUCCI
367;41.842037;12.385396;PORTUENSE/CAMPI SPORTIVI
368;41.841949;12.385695;PORTUENSE/CAMPI SPORTIVI
369;41.899494;12.461544;P.ZA DELLA ROVERE
370;41.896154;12.464809;LGT GIANICOLENSE/REGINA COELI
371;41.894397;12.466913;LGT FARNESINA
372;41.892409;12.469451;LGT FARNESINA/TRILUSSA
373;41.877512;12.441263;GIANICOLENSE/CASALETTO
374;41.892244;12.474793;ARENULA/MIN. G. GIUSTIZIA
375;42.018845;12.388823;ISOLA FARNESE/VALLE BOSCO
376;42.018849;12.388597;ISOLA FARNESE/VALLE BOSCO
377;41.90466;12.497762;CERNAIA
378;41.907987;12.500576;PALESTRO
379;41.908654;12.502122;PORTA PIA
380;41.908041;12.50427;CROCE ROSSA
381;41.865729;12.494658;PADRE SEMERIA/VALIGNANO
382;41.912988;12.518919;RAVENNA/PIAZZA
383;41.913141;12.521836;LORENZO IL MAGNIFICO/STAMIRA
384;41.911909;12.525493;LORENZO IL MAGNIFICO/G.DA PROCIDA
385;41.910937;12.528415;LORENZO IL MAGNIFICO/TEODORICO
386;41.909798;12.529508;STAZ.NE TIBURTINA (MB)
387;41.863514;12.496548;PADRE SEMERIA/COLOMBO
388;41.914518;12.522191;BOLOGNA (MB)
389;41.913157;12.519212;RAVENNA/PIAZZA
390;41.911874;12.51715;CATANZARO
391;41.8027;12.447827;CHIANESI (H)
392;41.909087;12.507396;POLICLINICO (H)
393;41.935031;12.47206;C.SO FRANCIA/URUGUAY
394;41.908451;12.503191;CROCE ROSSA
395;41.909091;12.502018;PORTA PIA
396;41.907033;12.498199;XX SETTEMBRE/PIAVE
397;41.905628;12.496188;XX SETTEMBRE/MIN. FINANZE
398;41.818766;12.436373;TARANTELLI
399;41.93797;12.471547;C.SO FRANCIA/PONTE FLAMINIO
400;41.812064;12.432307;FIUME GIALLO/FIUME AZZURRO
401;41.944388;12.469523;C.SO FRANCIA/BODIO
402;41.94665;12.46988;VILLA SEVERINI
403;41.813247;12.433519;FIUME GIALLO/CIVICO 321
404;41.948692;12.469775;CASSIA/JACINI
405;41.951261;12.4679;CASSIA/FABBRONI
406;41.892383;12.471789;LGT VALLATI/PETTINARI
407;41.956834;12.460577;CASSIA/INVIOLATELLA BORGHESE
408;41.895075;12.468432;LGT TEBALDI/ARMATA
409;41.957453;12.457728;CASSIA/ORIOLO ROMANO
410;41.814218;12.433077;FIUME GIALLO/CIVICO 257
411;41.813232;12.42943;FIUME GIALLO/CIVICO 196
412;41.960029;12.452645;CASSIA/S. GODENZO
413;41.810185;12.428691;FIUME GIALLO/CIVICO 82
414;41.808505;12.42954;FIUME GIALLO/CIVICO 13
415;41.897852;12.450562;GREGORIO VII/STAZ. S. PIETRO (FS)
416;41.896195;12.449352;GREGORIO VII/RANUCCI
417;41.96273;12.447768;CASSIA/VILLA S. PIETRO (H)
418;41.960154;12.451992;CASSIA/S. GODENZO
419;41.895832;12.444757;GREGORIO VII/S. DAMASO
420;41.957149;12.455944;CASSIA/S. GIOVANNA ELISABETTA
421;41.896421;12.441505;GREGORIO VII/DI PIETRO
422;41.895125;12.438762;GREGORIO VII/ANASTASIO II
423;41.807328;12.431429;SCIANGAI
424;41.897562;12.505315;GIOLITTI
425;41.807054;12.433857;TEMPIO DEL CIELO
426;41.807114;12.43615;BEATA VERGINE DEL CARMELO/MONTE TAI
427;41.945992;12.46922;C.SO FRANCIA/VIGNA STELLUTI
428;41.943893;12.469316;C.SO FRANCIA/BODIO
429;41.937898;12.471211;C.SO FRANCIA/PONTE FLAMINIO
430;41.899801;12.494469;VIMINALE
431;41.93484;12.471738;C.SO FRANCIA/URUGUAY
432;41.897272;12.474212;RINASCIMENTO
433;41.900261;12.473907;SENATO
434;41.808189;12.443453;BEATA VERGINE DEL CARMELO
435;41.901379;12.472179;ZANARDELLI
436;41.903006;12.473874;LGT MARZIO
437;41.905182;12.471719;VITTORIA COLONNA
438;41.905949;12.470042;P.ZA CAVOUR
439;41.908037;12.468196;CICERONE/PLINIO
440;41.807279;12.435885;BEATA VERGINE DEL CARMELO/MONTE TAI
441;41.807499;12.430796;SCIANGAI
442;41.808742;12.429603;FIUME GIALLO/CIVICO 13
443;41.810473;12.428691;FIUME GIALLO/CIVICO 82
444;41.910975;12.454843;L.GO TRIONFALE
445;41.913175;12.454312;GIULIANA/GRAZIOLI LANTE
446;41.915204;12.453826;GIULIANA/PRETURA
447;41.91752;12.455412;CLODIO
448;41.915052;12.453725;GIULIANA/PRETURA
449;41.912473;12.454276;GIULIANA/GRAZIOLI LANTE
450;41.911013;12.454666;L.GO TRIONFALE
451;41.947357;12.467435;VIGNA STELLUTI/FRANCIA
452;41.94806;12.464029;VIGNA STELLUTI/GIUOCHI DELFICI
453;41.95062;12.46047;CASSIA/PARETO
454;41.952457;12.457445;CASSIA/CORTINA D'AMPEZZO
455;41.957206;12.457438;CASSIA/ORIOLO ROMANO
456;41.951889;12.458079;CASSIA/CORTINA D'AMPEZZO
457;41.949835;12.461377;CASSIA/PARETO
458;41.947934;12.464084;VIGNA STELLUTI
459;41.811851;12.432928;CINA/FIUME AZZURRO
460;41.818673;12.43623;TARANTELLI
461;41.932557;12.476364;ARGENTINA/BOLIVIA
462;41.93278;12.473724;XVII OLIMPIADE
463;41.932487;12.471394;XVII OLIMPIADE/AUSTRIA
464;41.930656;12.47102;UNIONE SOVIETICA
465;41.930178;12.475751;DE COUBERTIN/AUDITORIUM
466;41.927937;12.478769;GUIDUBALDO DEL MONTE
467;41.927536;12.481929;STAZ.NE EUCLIDE
468;41.929598;12.484395;PARIOLI/ACQUA ACETOSA
469;41.929053;12.485918;PARIOLI/STUPARICH
470;41.926152;12.486395;PARIOLI/SANTIAGO DEL CILE
471;41.918517;12.490936;BIOPARCO/MERCADANTE
472;41.818847;12.446165;DECIMA/PIANETA TERRA
473;41.916356;12.495382;TARTINI
474;41.911851;12.497851;SALARIA/ANIENE
475;41.907708;12.498681;PIAVE/XX SETTEMBRE
476;41.904705;12.501936;INDIPENDENZA
477;41.900996;12.499727;TERMINI (MA-MB-FS)
478;41.896967;12.498195;S. MARIA MAGGIORE
479;41.893442;12.506173;CONTE VERDE/P.ZA VITTORIO EMANUELE
480;41.89175;12.509209;VIA S. CROCE IN GERUSALEMME/MANZONI
481;41.890073;12.512244;VIA S. CROCE IN GERUSALEMME/STATILIA
482;41.888872;12.514318;VIA S. CROCE IN GERUSALEMME
483;41.887088;12.520771;LA SPEZIA/LODI
484;41.886344;12.521508;ALGHERO
485;41.884221;12.522447;VILLA FIORELLI
486;41.817432;12.44501;PIANETA TERRA/PIANETA GIOVE
487;41.911844;12.465744;LEPANTO (MA)
488;41.815939;12.444784;PIANETA SATURNO
489;41.907556;12.468343;CICERONE/PLINIO
490;41.906095;12.469165;CICERONE/CAVOUR
491;41.905019;12.472306;VITTORIA COLONNA
492;41.904049;12.475226;RIPETTA
493;41.902802;12.474041;MONTE BRIANZO
494;41.81511;12.446617;COSTELLAZIONI/PIANETA GIOVE
495;41.897997;12.473921;RINASCIMENTO
496;41.814708;12.449387;COSTELLAZIONI/ORSA MAGGIORE
497;41.898418;12.496627;ESQUILINO/CAVOUR
498;41.898068;12.503705;RATTAZZI/GIOLITTI
499;41.896345;12.501978;RATTAZZI/NAPOLEONE III
500;41.900984;12.515708;DE LOLLIS/IRPINI
501;41.899931;12.513981;MARRUCINI
502;41.898216;12.513926;TIBURTINA/MARRUCINI
503;41.81073;12.4538;DECIMA/COMETE
504;41.898893;12.507985;MARSALA
505;41.897982;12.496662;CAVOUR/ESQUILINO
506;41.897167;12.494583;PANISPERNA
507;41.897093;12.492502;MILANO
508;41.8985;12.490817;MILANO/NAZIONALE
509;41.902673;12.484624;TRITONE/FONTANA TREVI
510;41.902197;12.486187;TRAFORO/TRITONE
511;41.89918;12.489735;MILANO/NAZIONALE
512;41.809676;12.453863;DECIMA/COMETE
513;41.812969;12.451795;TROIANI/DECIMA
514;41.812438;12.450555;TROIANI/COSTELLAZIONI
515;41.815168;12.448949;COSTELLAZIONI/ORSA MAGGIORE
516;41.898905;12.515495;TIBURTINA/MARRUCINI
517;41.899575;12.516821;TIBURTINA/RETI
518;41.904177;12.502842;INDIPENDENZA
519;41.815539;12.446649;PIANETA GIOVE
520;41.817376;12.445236;PIANETA TERRA/PIANETA GIOVE
521;41.884268;12.468063;DANDOLO/GLORIOSO
522;41.885251;12.466512;DANDOLO
523;41.886238;12.464785;FABRIZI
524;41.88502;12.463012;CALANDRELLI
525;41.818292;12.446548;PIANETA TERRA/DECIMA
526;41.882304;12.460705;CARINI/PILO
527;41.879826;12.460577;BARRILI
528;41.876092;12.461113;POERIO
529;41.880647;12.463343;POERIO/F.LLI BANDIERA
530;41.878132;12.463139;POERIO/DALL'ONGARO
531;41.881881;12.461272;QUADRIO
532;41.885038;12.461361;BONNET/CARINI
533;41.886195;12.465635;DANDOLO/FABRIZI
534;41.883477;12.466449;DANDOLO/CASINI
535;41.823697;12.45592;GRANDE MURAGLIA/OCEANO PACIFICO
536;41.820532;12.454167;GRANDE MURAGLIA/ROTTERDAM
537;41.819046;12.451469;GRANDE MURAGLIA/SIVIGLIA
538;41.888295;12.536681;GATTAMELATA/CANE
539;41.890049;12.536628;GATTAMELATA/DI BASTELICA
540;41.816722;12.447505;GRANDE MURAGLIA/DECIMA
541;41.891364;12.527617;P.LE PRENESTINO
542;41.890648;12.52541;AQUILA
543;41.889265;12.523006;PONTE CASILINO
544;41.887061;12.519805;LA SPEZIA/LODI
545;41.886329;12.509009;PORTA S. GIOVANNI (MA)
546;41.891258;12.49146;COLOSSEO (MB)
547;41.893658;12.486485;FORI IMPERIALI
548;41.894988;12.484179;FORI IMPERIALI/CAMPIDOGLIO
549;41.904252;12.474901;LGT MARZIO/PORTO DI RIPETTA
550;41.908452;12.467078;P.ZA COLA DI RIENZO
551;41.907869;12.464622;COLA DI RIENZO/REGOLO
552;41.907314;12.462357;COLA DI RIENZO/TERENZIO
553;41.906575;12.459467;COLA DI RIENZO/CATONE
554;41.906181;12.458375;RISORGIMENTO
555;41.906481;12.459547;COLA DI RIENZO/CATONE
556;41.907406;12.463483;COLA DI RIENZO/TERENZIO
557;41.908183;12.466532;COLA DI RIENZO/TACITO
558;41.909806;12.474345;MARIA ADELAIDE
559;41.908838;12.474259;PASSEGGIATA RIPETTA
560;41.905312;12.477298;AUGUSTO IMPERATORE
561;41.904595;12.477738;TOMACELLI
562;41.901825;12.479963;CORSO/L.GO CHIGI
563;41.81495;12.444626;GRANDE MURAGLIA/PIANETA SATURNO
564;41.89364;12.488968;CAVOUR/RICCI
565;41.893321;12.486877;FORI IMPERIALI
566;41.814748;12.44473;GRANDE MURAGLIA/PIANETA SATURNO
567;41.890237;12.495126;LABICANA/COLOSSEO
568;41.889103;12.502846;LABICANA/MERULANA
569;41.81657;12.447657;GRANDE MURAGLIA/DECIMA
570;41.886688;12.508507;PORTA S. GIOVANNI (MA)
571;41.88524;12.509949;P.LE APPIO (MA)
572;41.888424;12.522559;PONTE CASILINO
573;41.887139;12.526014;CASILINA/S. ELENA
574;41.818722;12.451353;GRANDE MURAGLIA/SIVIGLIA
575;41.820438;12.454535;GRANDE MURAGLIA/ROTTERDAM
576;41.891858;12.531574;PRENESTINA/GIOVENALE
577;41.892168;12.534657;PRENESTINA/GIUSSANO
578;41.888601;12.537158;DAL VERME/GATTAMELATA
579;41.888592;12.539621;DAL VERME/DEGLI UBERTINI
580;41.823779;12.456302;GRANDE MURAGLIA/OCEANO PACIFICO
581;41.895989;12.482038;P.ZA VENEZIA
582;41.822154;12.5195;ARDEATINA/CECCHIGNOLA
583;41.888698;12.498453;S. GIOVANNI IN LATERANO/S. CLEMENTE
584;41.888126;12.500357;S. GIOVANNI IN LATERANO
585;41.887012;12.504399;PZA S. GIOVANNI IN LATERANO (H)
586;41.886403;12.507857;PORTA S. GIOVANNI (MA)
587;41.88498;12.51258;TARANTO/PONTREMOLI
588;41.884332;12.515427;TARANTO/AOSTA
589;41.883805;12.517725;TARANTO/CASALMAGGIORE
590;41.882881;12.521015;TARANTO/LUGO
591;41.881759;12.522261;RAGUSA
592;41.87994;12.522428;MONSELICE/STAZIONE TUSCOLANA
593;41.879098;12.522111;TUSCOLANA/GELA
594;41.877455;12.524655;TUSCOLANA/AMELIA
595;41.874967;12.528195;TUSCOLANA/CLELIA
596;41.873784;12.529869;S. M. AUSILIATRICE
597;41.872207;12.53283;VOLUMNIA
598;41.869993;12.532537;ALBANO
599;41.822931;12.519101;ARDEATINA/CECCHIGNOLA
600;41.872068;12.52973;NUMITORE
601;41.87356;12.530884;S. M. AUSILIATRICE
602;41.875821;12.527347;TUSCOLANA/CLELIA
603;41.877623;12.524683;TUSCOLANA/AMELIA
604;41.87841;12.523574;TUSCOLANA/ASSISI
605;41.879973;12.522752;MONSELICE/STAZIONE TUSCOLANA
606;41.8776;12.520052;ADRIA
607;41.878153;12.519767;GELA
608;41.881846;12.522911;RAGUSA
609;41.892167;12.555265;OLEVANO ROMANO
610;41.884134;12.516768;TARANTO/CASALMAGGIORE
611;41.881654;12.523198;RAGUSA
612;41.884632;12.514644;TARANTO/MONZA
613;41.884105;12.522787;VILLA FIORELLI
614;41.884503;12.512198;RIMINI
615;41.886522;12.521607;ALGHERO
616;41.885156;12.510346;P.LE APPIO (MA)
617;41.988959;12.488758;VEIENTANA VETERE/ROMANENGO
618;41.887271;12.505061;P.ZA S. GIOVANNI IN LATERANO (H)
619;41.885927;12.51555;MONZA/LA SPEZIA
620;41.890769;12.511295;VIA S. CROCE IN GERUSALEMME/STATILIA
621;41.892394;12.508354;CONTE VERDE/MANZONI
622;41.893501;12.506346;CONTE VERDE/P.ZA VITTORIO EMANUELE
623;41.895909;12.502027;P.ZA VITTORIO EMANUELE (MA)
624;41.896929;12.500074;CARLO ALBERTO
625;41.899497;12.501364;GIOBERTI
626;41.892298;12.678013;MAZZOLARI/FOLLEREAU
627;41.868323;12.525772;CRIVELLUCCI
628;41.870739;12.522685;FORTIFIOCCA/DENINA
629;41.901517;12.499102;TERMINI (MA-MB-FS)
630;41.904027;12.500355;VOLTURNO/GAETA
631;41.905172;12.498911;VOLTURNO/CERNAIA
632;41.873528;12.517213;BACCARINI/PAPI
633;41.907052;12.499224;GOITO/XX SETTEMBRE
634;41.910887;12.4982;FIUME
635;41.875607;12.516728;BACCARINI/C.NE APPIA
636;41.878504;12.515125;DON ORIONE
637;41.879408;12.513187;ALBALONGA
638;41.880673;12.510927;CENEDA
639;41.881008;12.50822;MAGNA GRECIA/TUSCOLO
640;41.917831;12.493558;PAISIELLO/MONTEVERDI
641;41.883285;12.510814;FALERIA
642;41.919777;12.492657;PAISIELLO/BELLINI
643;41.92124;12.491446;BERTOLONI
644;41.923525;12.491247;PARIOLI/UNGHERIA
645;41.925115;12.489592;PARIOLI/OXILIA
646;41.925777;12.48733;SANTIAGO DEL CILE
647;41.929002;12.486055;PARIOLI/STUPARICH
648;41.928427;12.480025;PARCO RIMEMBRANZA
649;41.930763;12.476578;DE COUBERTIN
650;41.929358;12.493025;SALVINI
651;41.930329;12.490286;MUSE
652;41.927591;12.491086;DIGIONE
653;41.927032;12.492713;VILLA S. FILIPPO
654;41.924543;12.492829;ROMANIA
655;41.923228;12.49241;UNGHERIA
656;41.920839;12.493176;GUIDO D'AREZZO
657;41.920242;12.49497;BELLINI
658;41.900998;12.472219;ZANARDELLI
659;41.919534;12.496682;CIMAROSA
660;41.914516;12.497235;SALARIA/ADDA
661;41.891062;12.491594;COLOSSEO (MB)
662;41.888051;12.504049;MERULANA/S. GIOVANNI
