"Character","Detail","House_Allegiance","Culture","URL","Book","Born","Died","to","relationship_type"
"Orlop","Otheym was a renowned Fremen fighter and devoted follower of Paul Atreides. He was a key figure in the training of Fremen fighters in the Weirding Way, and in the liberation of Arrakis from House Harkonnen.","Atreides","Fremen",,"Dune",,,"Paul Atreides","Allies"
"Otheym","Unknown","Unknown",,,"Dune",,,"Lichna","Family"
"Pardee","Pardee was a Harkonnen Agent on Arrakis.He was believed by Thufir Hawat's men, to have been the top man underground left after the House had officially abandoned it's former fief.","Harkonnen",,"https://dune.fandom.com/wiki/Pardee","Dune",,,,
"Pardot Kynes","Pardot Kynes was an Imperial Planetologist who studied Arrakis. He remained there and married a native Fremen woman, with whom he had his only child, Liet Kynes.","Atreides",,,"Dune",,,"Liet Kynes","Family"
"Paul Atreides","Son of Leto Atreides I    Caladan","Atreides",,,"Dune",,,"Jessica Atreides","Family"
"Piter de Vries","Piter de Vries (d. 10191 AG) was a twisted mentat developed by the Bene Tleilax. He served House Harkonnen under the Baron Vladimir Harkonnen. De Vries was an ambitious and impatient sadist whose evil rivalled that of the Baron. The only mistake in his calculations he ever made was that Lady Jessica would bear Duke Leto a daughter, not son. Giedi Prime","Harkonnen","Mentat",,"Dune",,10191,"Leto Atreides I","Enemies"
"Ramallo","Ramallo was the Fremen Sayyadina, or rogue Reverend Mother of Sietch Tabr. She lived during the time House Atreides came to administer Arrakis under Imperial decree in 10,191AG. Ramallo was a Fremen woman who had taken the Water of Life and changed it successfully, thus unlocking her Other Memory. She was a mother figure and a woman of wisdom for the Fremen of Sietch Tabr. Upon their arrival, she accepted Lady Jessica, a Bene Gesserit adept, and her son Paul, offering them both cryptic advice about the future.","Atreides","Fremen",,"Dune",,,,
"Shaddam Corrino IV","Shaddam Corrino IV (10134 AG - 10202 AG) was the 81st Padishah Emperor of the Known Universe at the time of the ascent of House Atreides.  In year 10156 AG, Shaddam succeeded his father as the 81st Padishah Emperor and head of Imperial House Corrino, after Elrood IX succumbed to chaumurky. A frequently discredited history of the Corrinos detailed a story that Count Fenring was responsible for poisoning Elrood.","Corrino",,"https://dune.fandom.com/wiki/Shaddam_Corrino_IV","Dune",10134,10202,"Leto Atreides I","Enemies"
"Shaddam Corrino IV","Shaddam Corrino IV (10134 AG - 10202 AG) was the 81st Padishah Emperor of the Known Universe at the time of the ascent of House Atreides.  In year 10156 AG, Shaddam succeeded his father as the 81st Padishah Emperor and head of Imperial House Corrino, after Elrood IX succumbed to chaumurky. A frequently discredited history of the Corrinos detailed a story that Count Fenring was responsible for poisoning Elrood.","Corrino",,"https://dune.fandom.com/wiki/Shaddam_Corrino_IV","Dune",,,"Irulan Corrino","Family"
"Shaddam Corrino IV","Shaddam Corrino IV (10134 AG - 10202 AG) was the 81st Padishah Emperor of the Known Universe at the time of the ascent of House Atreides.  In year 10156 AG, Shaddam succeeded his father as the 81st Padishah Emperor and head of Imperial House Corrino, after Elrood IX succumbed to chaumurky. A frequently discredited history of the Corrinos detailed a story that Count Fenring was responsible for poisoning Elrood.","Corrino",,"https://dune.fandom.com/wiki/Shaddam_Corrino_IV","Dune",,,"Anirul Corrino","Family"
"Shimoon","�One of the watermasters for Jamis.�","Harkonnen",,,"Dune",,,"Jamis","Allies"
"Shishakli","Shishakli was a Fremen from Sietch Tabr during the time of Paul Atreides. When the time came for Paul's sandrider trial, Shishakli gave Paul his own maker hooks to use, since Paul did not have any of his own.","Atreides","Fremen",,"Dune",,,,
"Shoab","Unknown","Unknown",,,"Dune",,,,
"Soo-Soo","A  harkonnen agent and Guild bank representative took part in the Banquet House Atreides gave for the Houses Minor of Arrakis.Due to his position as financial advisor to the water peddlers union he had earned the nickname ""Soo-Soo"".Otherwisely he remained unnamed in the Book.","Harkonnen",,,"Dune",,,,
"Staban Tuek","Staban was a smuggler of Arrakis and the son of Esmar Tuek. Staban gave Gurney Halleck and his men sanctuary after the Harkonnen invasion.To him the Fremen were just a few ragged bands the smugglers used as spice-hunters.He reminded Gurney of Duke Leto: a courageous man, secure in his own positions and his own course.","Atreides",,,"Dune",,,"Esmar Tuek","Family"
"Stilgar","Stilgar, full name Stilgar Ben Fifrawi, was the Naib, or leader of Sietch Tabr, a Fremen tribe of Arrakis during the Atreides Fiefdom. Upon the change of the Arrakis fief in 10,191 AG from House Harkonnen to House Atreides, Stilgar was befriended by Atreides Swordmaster Duncan Idaho, who had been sent in advance by Duke Leto Atreides to gauge and study the Fremen. In Idaho's reports to Leto, Idaho had judged Stilgar to be a 'good example' of the Fremen of Arrakis. Indeed, through Idaho's relationship with Stilgar and his tribe, he became so impressed with the Fremen and their ways that Idaho accepted dual loyalties to the Atreides and to Stilgar. After the House Harkonnen's attacked Arrakis and House Atreides went renegade, the remaining members of the Atreides family, namely the Ducal heir Paul Atreides and his mother, the Lady Jessica, sought refuge with Stilgar and his tribe. Eventually, through Paul's leadership and the development of his prescient powers, Stilgar became the general of one who was to become Emperor of the Known Universe.","Atreides","Fremen",,"Dune",,,"Duncan Idaho","Allies"
"Stilgar","Stilgar, full name Stilgar Ben Fifrawi, was the Naib, or leader of Sietch Tabr, a Fremen tribe of Arrakis during the Atreides Fiefdom. Upon the change of the Arrakis fief in 10,191 AG from House Harkonnen to House Atreides, Stilgar was befriended by Atreides Swordmaster Duncan Idaho, who had been sent in advance by Duke Leto Atreides to gauge and study the Fremen. In Idaho's reports to Leto, Idaho had judged Stilgar to be a 'good example' of the Fremen of Arrakis. Indeed, through Idaho's relationship with Stilgar and his tribe, he became so impressed with the Fremen and their ways that Idaho accepted dual loyalties to the Atreides and to Stilgar. After the House Harkonnen's attacked Arrakis and House Atreides went renegade, the remaining members of the Atreides family, namely the Ducal heir Paul Atreides and his mother, the Lady Jessica, sought refuge with Stilgar and his tribe. Eventually, through Paul's leadership and the development of his prescient powers, Stilgar became the general of one who was to become Emperor of the Known Universe.","Atreides","Fremen",,"Dune",,,"Leto Atreides I","Allies"
"Stilgar","Stilgar, full name Stilgar Ben Fifrawi, was the Naib, or leader of Sietch Tabr, a Fremen tribe of Arrakis during the Atreides Fiefdom. Upon the change of the Arrakis fief in 10,191 AG from House Harkonnen to House Atreides, Stilgar was befriended by Atreides Swordmaster Duncan Idaho, who had been sent in advance by Duke Leto Atreides to gauge and study the Fremen. In Idaho's reports to Leto, Idaho had judged Stilgar to be a 'good example' of the Fremen of Arrakis. Indeed, through Idaho's relationship with Stilgar and his tribe, he became so impressed with the Fremen and their ways that Idaho accepted dual loyalties to the Atreides and to Stilgar. After the House Harkonnen's attacked Arrakis and House Atreides went renegade, the remaining members of the Atreides family, namely the Ducal heir Paul Atreides and his mother, the Lady Jessica, sought refuge with Stilgar and his tribe. Eventually, through Paul's leadership and the development of his prescient powers, Stilgar became the general of one who was to become Emperor of the Known Universe.","Atreides","Fremen",,"Dune",,,"Paul Atreides","Allies"
"Stilgar","Stilgar, full name Stilgar Ben Fifrawi, was the Naib, or leader of Sietch Tabr, a Fremen tribe of Arrakis during the Atreides Fiefdom. Upon the change of the Arrakis fief in 10,191 AG from House Harkonnen to House Atreides, Stilgar was befriended by Atreides Swordmaster Duncan Idaho, who had been sent in advance by Duke Leto Atreides to gauge and study the Fremen. In Idaho's reports to Leto, Idaho had judged Stilgar to be a 'good example' of the Fremen of Arrakis. Indeed, through Idaho's relationship with Stilgar and his tribe, he became so impressed with the Fremen and their ways that Idaho accepted dual loyalties to the Atreides and to Stilgar. After the House Harkonnen's attacked Arrakis and House Atreides went renegade, the remaining members of the Atreides family, namely the Ducal heir Paul Atreides and his mother, the Lady Jessica, sought refuge with Stilgar and his tribe. Eventually, through Paul's leadership and the development of his prescient powers, Stilgar became the general of one who was to become Emperor of the Known Universe.","Atreides","Fremen",,"Dune",,,,
"subiay","Unknown","Unknown",,,"Dune",,,,
"Tharthar","Tharthar was a small, dark woman of Sietch Tabr and the second wife of Stilgar.","Atreides",,,"Dune",,,"Stilgar","Marriage"
"Thufir Hawat","Thufir Hawat (10075 AG - 10193 AG) was a Mentat and Master of Assassins for House Atreides during the time of Duke Leto the Just. For three generations, Hawat had been responsible for Atreides House security. This meant protection for Atreides family members, anti-espionage, risk management, and various aspects of kanly. Moreover, Hawat had been entrusted with the training of the Ducal Heir Paul in the arts of war, as well as political and military strategy.","Atreides",,,"Dune",,,"Paul Atreides","Allies"
"Turok","Turok was a Fremen of Sietch Tabr and a friend of Stilgar and Duncan Idahos.He was killed in a confrontation with Harkonnen Agents","Atreides",,,"Dune",,,"Stilgar","Allies"
"Turok","Unknown","Unknown",,,"Dune",,,"Duncan Idaho","Allies"
"Uliet","Uliet, an experienced fighter, was sent with a consecrated knife to kill Kynes","Harkonnen",,,"Dune",,,"Liet Kynes","Enemies"
"Vladimir Harkonnen","Geidi Prime bad guy. Plots to murder Atreides family.","Harkonnen",,,"Dune",,,"Piter de Vries","Allies"
"Vladimir Harkonnen","Geidi Prime bad guy. Plots to murder Atreides family.","Harkonnen",,,"Dune",,,"Leto Atreides I","Enemies"
"Vladimir Harkonnen","Geidi Prime bad guy. Plots to murder Atreides family.","Harkonnen",,,"Dune",,,"Paul Atreides","Enemies"
"Vladimir Harkonnen","Geidi Prime bad guy. Plots to murder Atreides family.","Harkonnen",,,"Dune",,,"Feyd-Rautha Harkonnen","Family"
"Wanna Marcus","Wanna Marcus (10092 AG-?10186 AG) was a Bene Gesserit adept, wife of the Suk School doctor Yueh, who betrayed Duke Leto Atreides. Wanna Marcus was believed to have been killed by order of Baron Harkonnen. Information concerning a plot to kill Duke Leto Atreides substantiates the extent of Wanna's involvement in Bene Gesserit political infiltration plans.","Unknown","Bene Gesserit",,"Dune",,,"Wellington Yueh","Marriage"
"Wellington Yueh","Dr. Wellington Yueh (10082 AG-10191 AG) was a Suk doctor, who over the period of almost 80 years, served some of the greatest Houses of the Imperium.  He first served as physician of House Richese, and then secretly dignosed Baron Vladimir Harkonnen's venereal disease given to him by Gaius Helen Mohiam.","Atreides",,,"Dune",,,"Leto Atreides I","Allies"
"Wensicia Corrino","Wensicia Corrino was the third daughter of Shaddam Corrino IV of House Corrino and Lady Anirul. She married Dalak Fenring and gave birth to Farad'n Corrino (born 10198 AG)","Corrino",,,"Dune",,,"Shaddam Corrino IV","Family"
"Alia Atreides","Daughter of Emporer Corrino","Atreides",,,"Dune Messiah",,,"Leto Atreides I","Family"
"Bannerjee","Unknown","Unknown",,,"Dune Messiah",,,,
"Bijaz","Unknown","Unknown",,,"Dune Messiah",,,,
"Chani Kynes",,"Atreides",,,"Dune Messiah",,,,
"Dhuri",,,,,"Dune Messiah",,,,
"Djedida",,,,,"Dune Messiah",,,,
"Edric",,,,,"Dune Messiah",,,,
"Gaius Helen Mohiam",,,,,"Dune Messiah",,,,
"Ghanima Atreides",,,,,"Dune Messiah",,,,
"Harah",,,,,"Dune Messiah",,,,
"Hayt",,,,,"Dune Messiah",,,,
"Irulan Corrino",,,,,"Dune Messiah",,,,
"Korba",,,,,"Dune Messiah",,,,
"Leto Atreides II",,,,,"Dune Messiah",,,,
"Lichna"," Lichna, the daughter of Paul's trusted Fedaykin Otheym, is killed and impersonated by the Tleilaxu Face Dancer Scytale as a means to infiltrate Paul's household, which ultimately fails. ","Unknown",,,"Dune Messiah",,,"Otheym","Family"
"Otheym","Unknown",,,,"Dune Messiah",,,"Lichna","Family"
"Paul Atreides",,,,,"Dune Messiah",,,,
"Rasir",,,,,"Dune Messiah",,,,
"Scytale","Scytale  is a Tleilaxu Face Dancer who participates in the conspiracy to topple the rule of Paul Atreides in Frank Herbert's 1969 novel Dune Messiah. He later returns as a ghola and Tleilaxu Master in Heretics of Dune (1984) and Chapterhouse: Dune (1985). Scytale's story continues in Hunters of Dune (2006) and Sandworms of Dune (2007), Brian Herbert and Kevin J. Anderson's sequel novels that complete Frank Herbert's original series.","Tleilaxu�","Tleilaxu�",,"Dune Messiah",,,"Paul Atreides","Enemies"
