name	allegiance	culture	spouse	father	mother	books	show	predecessor	successor	born	died	title	url
Addam Whitehead	['http://awoiaf.westeros.org/index.php/House_Whitehead']	['stormlands']		['http://awoiaf.westeros.org/index.php/House_Whitehead']		['http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[]	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Addam_Whitehead
Addison Hill	['http://awoiaf.westeros.org/index.php/House_Swyft', 'http://awoiaf.westeros.org/index.php/Addison_Hill', 'http://awoiaf.westeros.org/index.php/Kingsguard', 'http://awoiaf.westeros.org/index.php/Addison_Hill']	['Westermen[1]']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows']				[b'Cornfield[1]']	[b'In1048AC']	[['Ser[1]', 'Lord Commander of the Kingsguard[2]']]	http://awoiaf.westeros.org/index.php/Addison_Hill
Adrack Humble	['http://awoiaf.westeros.org/index.php/House_Humble', 'http://awoiaf.westeros.org/index.php/Adrack_Humble', 'http://awoiaf.westeros.org/index.php/House_Greyjoy']	['ironborn[1]']	['http://awoiaf.westeros.org/index.php/Rock_wife', 'http://awoiaf.westeros.org/index.php/Adrack_Humble', 'http://awoiaf.westeros.org/index.php/Salt_wife', 'http://awoiaf.westeros.org/index.php/Adrack_Humble']			['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Iron Islands[2]']	[b'In300AC[1],Moat Cailin[1]']	[]	http://awoiaf.westeros.org/index.php/Adrack_Humble
Adrian Redfort	['http://awoiaf.westeros.org/index.php/House_Redfort', 'http://awoiaf.westeros.org/index.php/Queensguard', 'http://awoiaf.westeros.org/index.php/Blacks']	['Valemen']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']				[]	[b'In22th day of the 10th moon of 130AC,Dragonstone[1]']	[['Ser']]	http://awoiaf.westeros.org/index.php/Adrian_Redfort
Adrian Tarbeck	['http://awoiaf.westeros.org/index.php/House_Tarbeck', 'http://awoiaf.westeros.org/index.php/Greens']	['Westermen']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[]	[b'In130AC,the riverlands']	[['Ser']]	http://awoiaf.westeros.org/index.php/Adrian_Tarbeck
Adrian Thorne	['http://awoiaf.westeros.org/index.php/House_Thorne', 'http://awoiaf.westeros.org/index.php/City_Watch_of_King%27s_Landing']	['Crownlands']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood']		['http://awoiaf.westeros.org/index.php/Lucas_Leygood']		[]	[]	[['Ser', 'Captain of the Lion Gate', 'Commander of the City Watch']]	http://awoiaf.westeros.org/index.php/Adrian_Thorne
Aegon Ambrose	['http://awoiaf.westeros.org/index.php/House_Ambrose', 'http://awoiaf.westeros.org/index.php/Faith_of_the_Seven', 'http://awoiaf.westeros.org/index.php/Warrior%27s_Sons']	['Reach']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Sons_of_the_Dragon']				[]	"[b""In42AC,King's Landing""]"	[['Ser']]	http://awoiaf.westeros.org/index.php/Aegon_Ambrose
Aegon Blackfyre	['http://awoiaf.westeros.org/index.php/House_Blackfyre']	['crownlands']		['http://awoiaf.westeros.org/index.php/Daemon_I_Blackfyre']	['http://awoiaf.westeros.org/index.php/Rohanne_of_Tyrosh']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/The_Mystery_Knight']				[b'In184AC[1],Westeros[2]']	[b'In196AC[3],Redgrass Field[4]']	[]	http://awoiaf.westeros.org/index.php/Aegon_Blackfyre
Aegon Frey	['http://awoiaf.westeros.org/index.php/House_Frey']	['Rivermen']		['http://awoiaf.westeros.org/index.php/Stevron_Frey']	['http://awoiaf.westeros.org/index.php/Jeyne_Lydden']	['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In~249AC[1],The Twins[2]']	[b'In299AC,The Twins[3]']	[]	http://awoiaf.westeros.org/index.php/Aegon_Frey_(son_of_Stevron)
Aegon Frey	['http://awoiaf.westeros.org/index.php/House_Frey']	['Rivermen']		['http://awoiaf.westeros.org/index.php/Aenys_Frey']	['http://awoiaf.westeros.org/index.php/Tyana_Wylde']	['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In250273AC[1]']	[]	[]	http://awoiaf.westeros.org/index.php/Aegon_Frey_(son_of_Aenys)
Aegon I				['http://awoiaf.westeros.org/index.php/Aerion_Targaryen_(son_of_Daemion)']	['http://awoiaf.westeros.org/index.php/Valaena_Velaryon']			[]	['http://awoiaf.westeros.org/index.php/Aenys_I_Targaryen']	[b'In27BC[5],atDragonstone']	[b'In37AC[6] (aged 64)[7],atDragonstone']	[]	http://awoiaf.westeros.org/index.php/Aegon_I_Targaryen
Aegon II				['http://awoiaf.westeros.org/index.php/Viserys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Alicent_Hightower']		['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']	['http://awoiaf.westeros.org/index.php/Viserys_I_Targaryen', 'http://awoiaf.westeros.org/index.php/Aegon_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Aegon_III_Targaryen', 'http://awoiaf.westeros.org/index.php/Aegon_II_Targaryen']	"[b""In107AC,atKing's Landing[5]""]"	"[b""In131AC,atKing's Landing[5]""]"	[]	http://awoiaf.westeros.org/index.php/Aegon_II_Targaryen
Aegon III				['http://awoiaf.westeros.org/index.php/Daemon_Targaryen']	['http://awoiaf.westeros.org/index.php/Rhaenyra_Targaryen']		['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']	['http://awoiaf.westeros.org/index.php/Aegon_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Daeron_I_Targaryen']	[b'In120AC[1],atDragonstone[9]']	"[b""In157AC[10] (aged 36)[5],atKing's Landing[9]""]"	[]	http://awoiaf.westeros.org/index.php/Aegon_III_Targaryen
Aegon IV				['http://awoiaf.westeros.org/index.php/Viserys_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Larra_Rogare']			['http://awoiaf.westeros.org/index.php/Viserys_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Daeron_II_Targaryen']	"[b""In135AC[2],atKing's Landing""]"	"[b""In184AC (aged 49)[1],atKing's Landing""]"	[]	http://awoiaf.westeros.org/index.php/Aegon_IV_Targaryen
Aegon V				['http://awoiaf.westeros.org/index.php/Maekar_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Dyanna_Dayne']			['http://awoiaf.westeros.org/index.php/Maekar_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Jaehaerys_II_Targaryen']	"[b""In200AC[1],atKing's Landing[2]""]"	[b'In259AC,atSummerhall[2]']	[]	http://awoiaf.westeros.org/index.php/Aegon_V_Targaryen
Aegon Targaryen[1]	['http://awoiaf.westeros.org/index.php/House_Targaryen']		['http://awoiaf.westeros.org/index.php/Elaena_Targaryen_(daughter_of_Gaemon)']	['http://awoiaf.westeros.org/index.php/Gaemon_Targaryen_(son_of_Aenar)']	['http://awoiaf.westeros.org/index.php/Daenys_Targaryen']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[b'In11480BC[2],Dragonstone']	[]	[['Lord of Dragonstone']]	http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Gaemon)
Aegon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['crownlands']	['http://awoiaf.westeros.org/index.php/Rhaena_Targaryen_(daughter_of_Aenys_I)', 'http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Aenys_I)']	['http://awoiaf.westeros.org/index.php/Aenys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Alyssa_Velaryon']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Sons_of_the_Dragon']				[b'In26AC[2]']	[b'In43AC[1],Gods Eye[1]']	[['Prince of Dragonstone[1]', 'King of the Andals, the Rhoynar, and the First Men[1] (claimant)']]	http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Aenys_I)
Aegon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Jaehaerys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Alysanne_Targaryen']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				"[b""In52AC,King's Landing[1]""]"	"[b""In52AC,King's Landing[1]""]"	[['Prince']]	http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Jaehaerys_I)
Aegon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Baelon_Targaryen_(son_of_Jaehaerys_I)']	['http://awoiaf.westeros.org/index.php/Alyssa_Targaryen']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[b'In84AC[1]']	[b'In85AC[1]']	[['Prince[1]']]	http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Baelon)
Aegon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Aerys_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Rhaella_Targaryen']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[b'In272AC[1]']	[b'In273AC[1]']	[['Prince']]	http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Aerys_II)
Aegon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Rhaegar_Targaryen']	['http://awoiaf.westeros.org/index.php/Elia_Martell']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[b'Inlate 281AC or early 282AC[4],Dragonstone']	"[b""In283AC (supposedly),King's Landing[N 1]""]"	[['Prince', 'King of the Andals, the Rhoynar, and the First Men[3] (claimant)', 'Lord of the Seven Kingdoms[3] (claimant)']]	http://awoiaf.westeros.org/index.php/Aegon_Targaryen_(son_of_Rhaegar)
Aegor Rivers	['http://awoiaf.westeros.org/index.php/House_Bracken', 'http://awoiaf.westeros.org/index.php/House_Blackfyre', 'http://awoiaf.westeros.org/index.php/Second_Sons', 'http://awoiaf.westeros.org/index.php/Golden_Company']	['Rivermen']	['http://awoiaf.westeros.org/index.php/Calla_Blackfyre']	['http://awoiaf.westeros.org/index.php/Aegon_IV_Targaryen']	['http://awoiaf.westeros.org/index.php/Barba_Bracken']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/The_Mystery_Knight', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[b'In172AC[3]']	[b'In241AC[3],Disputed Lands']	[['Ser[2]', 'Captain-general[2]']]	http://awoiaf.westeros.org/index.php/Aegor_Rivers
Aelinor Penrose	['http://awoiaf.westeros.org/index.php/House_Penrose', 'http://awoiaf.westeros.org/index.php/House_Targaryen']	['Stormlands']	['http://awoiaf.westeros.org/index.php/Aerys_I_Targaryen']			['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings']				[b'Parchments[1]']	[]	[['Lady', 'Queen consort']]	http://awoiaf.westeros.org/index.php/Aelinor_Penrose
Aelor Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Aelora_Targaryen']	['http://awoiaf.westeros.org/index.php/Rhaegel_Targaryen']	['http://awoiaf.westeros.org/index.php/Alys_Arryn_(wife_of_Rhaegel)']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[b'In195211AC[1]']	[b'In217AC[2]']	[['Prince', 'Prince of Dragonstone']]	http://awoiaf.westeros.org/index.php/Aelor_Targaryen
Aelora Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Aelor_Targaryen']	['http://awoiaf.westeros.org/index.php/Rhaegel_Targaryen']	['http://awoiaf.westeros.org/index.php/Alys_Arryn_(wife_of_Rhaegel)']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']		['http://awoiaf.westeros.org/index.php/Aelor_Targaryen']	['http://awoiaf.westeros.org/index.php/Maekar_I_Targaryen']	[b'In195211AC[1]']	[b'In217221AC[1]']	[['Princess', 'Princess of Dragonstone']]	http://awoiaf.westeros.org/index.php/Aelora_Targaryen
Aelyx Targaryen[1]	['http://awoiaf.westeros.org/index.php/House_Targaryen']			['http://awoiaf.westeros.org/index.php/Aerys_Targaryen_(son_of_Aegon)']		['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[b'In8955BC[2],Dragonstone']	[]	[['Lord of Dragonstone']]	http://awoiaf.westeros.org/index.php/Aelyx_Targaryen
Aemma Arryn	['http://awoiaf.westeros.org/index.php/House_Arryn', 'http://awoiaf.westeros.org/index.php/House_Targaryen']	['Valemen']	['http://awoiaf.westeros.org/index.php/Viserys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Rodrik_Arryn']	['http://awoiaf.westeros.org/index.php/Daella_Targaryen_(daughter_of_Jaehaerys_I)']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Rogue_Prince', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']	['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']	['http://awoiaf.westeros.org/index.php/Alysanne_Targaryen']	['http://awoiaf.westeros.org/index.php/Alicent_Hightower']	[b'In82AC,the Eyrie[2]']	"[b""In105AC,King's Landing[1]""]"	[['Lady[1]', 'Queen[1]']]	http://awoiaf.westeros.org/index.php/Aemma_Arryn
Aemon Blackfyre	['http://awoiaf.westeros.org/index.php/House_Blackfyre']	['crownlands']		['http://awoiaf.westeros.org/index.php/Daemon_I_Blackfyre']	['http://awoiaf.westeros.org/index.php/Rohanne_of_Tyrosh']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/The_Mystery_Knight']				[b'In184AC[1],Westeros[2]']	[b'In196AC[3],Redgrass Field']	[]	http://awoiaf.westeros.org/index.php/Aemon_Blackfyre
Aemon Costayne	['http://awoiaf.westeros.org/index.php/House_Costayne']					['http://awoiaf.westeros.org/index.php/A_Storm_of_Swords']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Aemon_Costayne
Aemon Estermont	['http://awoiaf.westeros.org/index.php/House_Estermont']	['Stormlander']				['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Aemon_Estermont
Aemon Rivers	['http://awoiaf.westeros.org/index.php/House_Frey']	['Rivermen']		['http://awoiaf.westeros.org/index.php/Walder_Rivers']	['http://awoiaf.westeros.org/index.php/House_Charlton']	['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows']				[]	[]	[['Ser[1]']]	http://awoiaf.westeros.org/index.php/Aemon_Rivers
Aemon Steelsong		['Free folk']		['http://awoiaf.westeros.org/index.php/Mance_Rayder']	['http://awoiaf.westeros.org/index.php/Dalla']	['http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In300AC,near Castle Black']	[]	[]	http://awoiaf.westeros.org/index.php/Aemon_Steelsong
Aemon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Jocelyn_Baratheon']	['http://awoiaf.westeros.org/index.php/Jaehaerys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Alysanne_Targaryen']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Rogue_Prince', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']				[b'In55AC[1],Dragonstone']	[b'In92AC[2] (aged 37)[3],Tarth']	[['Prince', 'Prince of Dragonstone', 'Master of laws', 'Lord justiciar']]	http://awoiaf.westeros.org/index.php/Aemon_Targaryen_(son_of_Jaehaerys_I)
Aemon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen', 'http://awoiaf.westeros.org/index.php/Kingsguard']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Viserys_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Larra_Rogare']	['http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Hedge_Knight', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				"[b""In136AC[1],King's Landing[2]""]"	[b'In178183AC[3]']	[['Prince', 'Ser', 'Lord Commander of the Kingsguard']]	http://awoiaf.westeros.org/index.php/Aemon_Targaryen_(son_of_Viserys_II)
Aemon	['http://awoiaf.westeros.org/index.php/House_Targaryen', 'http://awoiaf.westeros.org/index.php/Citadel', 'http://awoiaf.westeros.org/index.php/Night%27s_Watch']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Maekar_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Dyanna_Dayne']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Hedge_Knight', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/The_Mystery_Knight', 'http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']	['http://awoiaf.westeros.org/index.php/Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_1', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_3', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_4', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_5']			"[b""In198AC[4][5],King's Landing[4]""]"	[b'In300AC (aged 102)[1],the Cinnamon Wind, off the coast of Dorne, in the Summer Sea']	[['Prince (formerly)', 'Maester at Dragonstone[2] (formerly)', 'Maester at Castle Black[3]']]	http://awoiaf.westeros.org/index.php/Aemon_Targaryen_(son_of_Maekar_I)
Aemond Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen', 'http://awoiaf.westeros.org/index.php/Greens']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Alys_Rivers']	['http://awoiaf.westeros.org/index.php/Viserys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Alicent_Hightower']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Rogue_Prince', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']	['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']			[b'In110AC']	[b'In22nd day of the 5th moon of 130AC,the Gods Eye']	[['Prince', 'Protector of the Realm', 'Prince Regent']]	http://awoiaf.westeros.org/index.php/Aemond_Targaryen
Aenys Blackfyre	['http://awoiaf.westeros.org/index.php/House_Blackfyre']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Daemon_I_Blackfyre']	['http://awoiaf.westeros.org/index.php/Rohanne_of_Tyrosh']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[b'In191194AC[1]']	"[b""In233AC,King's Landing""]"	[]	http://awoiaf.westeros.org/index.php/Aenys_Blackfyre
Aenys Frey	['http://awoiaf.westeros.org/index.php/House_Frey']	['Rivermen']	['http://awoiaf.westeros.org/index.php/Tyana_Wylde']	['http://awoiaf.westeros.org/index.php/Walder_Frey']	['http://awoiaf.westeros.org/index.php/Perra_Royce']	['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[b'In238248AC[1],the Twins[2]']	[b'In300AC,near Winterfell']	[['Ser']]	http://awoiaf.westeros.org/index.php/Aenys_Frey
